dataset,n_qubits,seed,run_type,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.9300000667572021,0.35418604154884814,0.03,0.83,1908.7916741371155
mnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.9300000667572021,0.35418604154884814,0.05,0.83,1908.7916741371155
mnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.9300000667572021,0.35418604154884814,0.1,0.79,1908.7916741371155
fashionmnist,4,42,no_pruning,,0.0,24,24,0.6940000057220459,0.5684902479946613,0.0,0.6566666960716248,439.83320116996765
fashionmnist,4,42,no_pruning,,0.0,24,24,0.6940000057220459,0.5684902479946613,0.03,0.62,439.83320116996765
fashionmnist,4,42,no_pruning,,0.0,24,24,0.6940000057220459,0.5684902479946613,0.05,0.62,439.83320116996765
fashionmnist,4,42,no_pruning,,0.0,24,24,0.6940000057220459,0.5684902479946613,0.1,0.61,439.83320116996765
fashionmnist,4,42,pruned,0.1,0.125,24,21,0.6940000057220459,0.5684902479946613,0.0,0.6566666960716248,733.649927854538
fashionmnist,4,42,pruned,0.1,0.125,24,21,0.6940000057220459,0.5684902479946613,0.03,0.62,733.649927854538
fashionmnist,4,42,pruned,0.1,0.125,24,21,0.6940000057220459,0.5684902479946613,0.05,0.62,733.649927854538
fashionmnist,4,42,pruned,0.1,0.125,24,21,0.6940000057220459,0.5684902479946613,0.1,0.61,733.649927854538
fashionmnist,4,42,pruned,0.25,0.25,24,18,0.7160000205039978,0.5749144854545594,0.0,0.5133333206176758,1995.0731358528137
fashionmnist,4,42,pruned,0.25,0.25,24,18,0.7160000205039978,0.5749144854545594,0.03,0.5,1995.0731358528137
fashionmnist,4,42,pruned,0.25,0.25,24,18,0.7160000205039978,0.5749144854545594,0.05,0.49,1995.0731358528137
fashionmnist,4,42,pruned,0.25,0.25,24,18,0.7160000205039978,0.5749144854545594,0.1,0.49,1995.0731358528137
fashionmnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.7160000205039978,0.5749144854545594,0.0,0.5333333611488342,2050.3616256713867
fashionmnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.7160000205039978,0.5749144854545594,0.03,0.57,2050.3616256713867
fashionmnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.7160000205039978,0.5749144854545594,0.05,0.52,2050.3616256713867
fashionmnist,4,42,pruned,0.4,0.41666666666666663,24,14,0.7160000205039978,0.5749144854545594,0.1,0.48,2050.3616256713867
fashionmnist,4,7,no_pruning,,0.0,24,24,0.6880000233650208,0.5762773494273424,0.0,0.643333375453949,2017.6739127635956
fashionmnist,4,7,no_pruning,,0.0,24,24,0.6880000233650208,0.5762773494273424,0.03,0.68,2017.6739127635956
fashionmnist,4,7,no_pruning,,0.0,24,24,0.6880000233650208,0.5762773494273424,0.05,0.67,2017.6739127635956
fashionmnist,4,7,no_pruning,,0.0,24,24,0.6880000233650208,0.5762773494273424,0.1,0.65,2017.6739127635956
fashionmnist,4,7,pruned,0.1,0.125,24,21,0.6880000233650208,0.5762773494273424,0.0,0.643333375453949,1014.3737044334412
fashionmnist,4,7,pruned,0.1,0.125,24,21,0.6880000233650208,0.5762773494273424,0.03,0.68,1014.3737044334412
fashionmnist,4,7,pruned,0.1,0.125,24,21,0.6880000233650208,0.5762773494273424,0.05,0.67,1014.3737044334412
fashionmnist,4,7,pruned,0.1,0.125,24,21,0.6880000233650208,0.5762773494273424,0.1,0.65,1014.3737044334412
fashionmnist,4,7,pruned,0.25,0.25,24,18,0.6880000233650208,0.5753794223070144,0.0,0.5666666626930237,392.31864070892334
fashionmnist,4,7,pruned,0.25,0.25,24,18,0.6880000233650208,0.5753794223070144,0.03,0.59,392.31864070892334
fashionmnist,4,7,pruned,0.25,0.25,24,18,0.6880000233650208,0.5753794223070144,0.05,0.6,392.31864070892334
fashionmnist,4,7,pruned,0.25,0.25,24,18,0.6880000233650208,0.5753794223070144,0.1,0.57,392.31864070892334
fashionmnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.6880000233650208,0.5753794223070144,0.0,0.38333335518836975,393.4356458187103
fashionmnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.6880000233650208,0.5753794223070144,0.03,0.39,393.4356458187103
fashionmnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.6880000233650208,0.5753794223070144,0.05,0.39,393.4356458187103
fashionmnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.6880000233650208,0.5753794223070144,0.1,0.39,393.4356458187103
fashionmnist,4,123,no_pruning,,0.0,24,24,0.718000054359436,0.5682698202431202,0.0,0.6733333468437195,391.8940989971161
