dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7660000324249268,0.4009882727650926,0.03,0.7,1040.0174696445465
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7660000324249268,0.4009882727650926,0.05,0.69,1040.0174696445465
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7660000324249268,0.4009882727650926,0.1,0.69,1040.0174696445465
mnist,4,2,no_pruning,dense,,0.0,24,24,0.7660000324249268,0.4975039612799883,0.0,0.7833333611488342,924.7480392456055
mnist,4,2,no_pruning,dense,,0.0,24,24,0.7660000324249268,0.4975039612799883,0.03,0.82,924.7480392456055
mnist,4,2,no_pruning,dense,,0.0,24,24,0.7660000324249268,0.4975039612799883,0.05,0.83,924.7480392456055
mnist,4,2,no_pruning,dense,,0.0,24,24,0.7660000324249268,0.4975039612799883,0.1,0.78,924.7480392456055
mnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7540000081062317,0.403021201198455,0.0,0.7433333396911621,915.9545683860779
mnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7540000081062317,0.403021201198455,0.03,0.81,915.9545683860779
mnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7540000081062317,0.403021201198455,0.05,0.8,915.9545683860779
mnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7540000081062317,0.403021201198455,0.1,0.79,915.9545683860779
mnist,4,2,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7520000338554382,0.41709491214975714,0.0,0.7599999904632568,913.5683133602142
mnist,4,2,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7520000338554382,0.41709491214975714,0.03,0.79,913.5683133602142
mnist,4,2,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7520000338554382,0.41709491214975714,0.05,0.8,913.5683133602142
mnist,4,2,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7520000338554382,0.41709491214975714,0.1,0.79,913.5683133602142
mnist,4,2,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4127930317945778,0.0,0.7400000095367432,916.4020190238953
mnist,4,2,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4127930317945778,0.03,0.8,916.4020190238953
mnist,4,2,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4127930317945778,0.05,0.81,916.4020190238953
mnist,4,2,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4127930317945778,0.1,0.75,916.4020190238953
mnist,4,3,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.48387605913728476,0.0,0.7766667008399963,779.4616801738739
mnist,4,3,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.48387605913728476,0.03,0.78,779.4616801738739
mnist,4,3,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.48387605913728476,0.05,0.77,779.4616801738739
mnist,4,3,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.48387605913728476,0.1,0.74,779.4616801738739
mnist,4,3,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7780000567436218,0.4038254977457226,0.0,0.7833333611488342,917.6460061073303
mnist,4,3,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7780000567436218,0.4038254977457226,0.03,0.79,917.6460061073303
mnist,4,3,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7780000567436218,0.4038254977457226,0.05,0.78,917.6460061073303
mnist,4,3,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7780000567436218,0.4038254977457226,0.1,0.74,917.6460061073303
mnist,4,3,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7680000066757202,0.4010548997428269,0.0,0.7933333516120911,914.3706867694855
mnist,4,3,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7680000066757202,0.4010548997428269,0.03,0.79,914.3706867694855
mnist,4,3,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7680000066757202,0.4010548997428269,0.05,0.79,914.3706867694855
mnist,4,3,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7680000066757202,0.4010548997428269,0.1,0.77,914.3706867694855
mnist,4,3,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7560000419616699,0.4153032855667174,0.0,0.7933333516120911,913.202624797821
mnist,4,3,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7560000419616699,0.4153032855667174,0.03,0.8,913.202624797821
mnist,4,3,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7560000419616699,0.4153032855667174,0.05,0.77,913.202624797821
mnist,4,3,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7560000419616699,0.4153032855667174,0.1,0.72,913.202624797821
mnist,4,4,no_pruning,dense,,0.0,24,24,0.718000054359436,0.5511813878268004,0.0,0.7266666889190674,776.3185300827026
mnist,4,4,no_pruning,dense,,0.0,24,24,0.718000054359436,0.5511813878268004,0.03,0.69,776.3185300827026
mnist,4,4,no_pruning,dense,,0.0,24,24,0.718000054359436,0.5511813878268004,0.05,0.72,776.3185300827026
mnist,4,4,no_pruning,dense,,0.0,24,24,0.718000054359436,0.5511813878268004,0.1,0.76,776.3185300827026
mnist,4,4,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6940000057220459,0.45059354688599706,0.0,0.7033333778381348,913.5530433654785
mnist,4,4,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6940000057220459,0.45059354688599706,0.03,0.72,913.5530433654785
mnist,4,4,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6940000057220459,0.45059354688599706,0.05,0.75,913.5530433654785
mnist,4,4,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6940000057220459,0.45059354688599706,0.1,0.75,913.5530433654785
